Country,Year,Life expectancy,"Number of death due to tuberculosis, excluding HIV",Age-standarized suicide rates (per 100000 population),Total NCD Death(inthousands),Per adult national income,"School enrollment, tertiary (% gross)",Prevalence of undernourishment (% of population)
India,2010,17.95,496000,15.56,584.9,23755.4365,17.83387947,15.9
India,2015,18.49,453000,12.92,575.5,32169.5741,26.76898956,14.5
India,2019,18.82,441000,12.91,558.5,37177.7296,28.57290077,14.6
Indonesia,2000,17.56,119000,3.79,677.5,5688.6449,14.87679958,19.2
Indonesia,2010,17.46,113000,2.92,693.8,15401.7417,24.07625961,13
Indonesia,2015,17.67,97000,2.57,676.7,17455.5358,33.25072098,7.2
Indonesia,2019,17.94,91000,2.55,660.7,23159.6294,,6.2
Iran,2000,19.7,580,8.04,585.3,11899.7957,18.69705963,4.8
Iran,2010,21.4,670,5.78,471.9,22191.4348,44.16965866,6.1
Iran,2015,21.56,870,5.96,460.5,20793.3421,72.96105194,4.7
Iran,2019,21.82,870,5.13,445.7,20900.4396,60.39419174,4.9
Iraq,2000,18.3,1300,5.25,698,-791.6426,12.11528015,22.1
Iraq,2010,18.82,1100,5.34,653.1,4974.1621,,15
Iraq,2015,19.24,1000,5.4,611.7,5719.4401,,18.4
Iraq,2019,19.18,870,4.74,610.8,9969.0491,,17.4
Ireland,2000,20.19,51,12.05,514.3,197902.6952,49.44981003,2.5
Ireland,2010,23.18,35,11.17,368.7,225627.008,63.12643814,2.5
Ireland,2015,23.66,17,8.71,349.9,194128.7045,77.23214722,2.5
Ireland,2019,24.19,18,8.9,326.8,239503.4955,75.17993927,2.5
Israel,2000,21.95,78,6.76,427.5,35303.2255,50.01055145,2.5
Israel,2010,24.15,28,6.56,321.4,67368.7834,65.92613983,2.5
Israel,2015,24.31,15,4.45,307.8,85764.6134,65.4868927,2.5
Israel,2019,24.9,21,5.15,285.3,102493.8694,60.32519913,2.5
Italy,2000,22.54,510,5.53,411.6,155995.9622,49.81127167,2.5
Italy,2010,24.37,370,4.82,324.7,209113.4224,65.77429962,2.5
Italy,2015,24.48,340,4.83,313.5,186852.9227,60.93946075,2.5
Italy,2019,25.04,300,4.33,289.1,185659.0477,66.0515976,2.5
Jamaica,2000,20.99,19,2.05,468.3,17404.2249,15.07814026,7.4
Jamaica,2010,21.63,11,1.97,434.7,8858.3008,26.8155899,9.7
Jamaica,2015,21.36,7,2.17,459.1,5805.2293,27.13060951,9.7
Jamaica,2019,21.32,7,2.28,454.4,15654.7003,,7.5
Japan,2000,24.15,5100,18.08,303,192812.575,,2.5
Japan,2010,25.27,3800,18.81,262.1,179804.9037,,2.7
Japan,2015,25.86,3000,14.89,243.1,186733.0647,,2.5
Japan,2019,26.35,3300,12.24,235.4,190360.048,,2.8
Jordan,2000,18.61,28,3.5,648.4,2551.0288,27.23424911,9.7
Jordan,2010,20.99,27,2.02,481.8,13440.67,37.14990997,6.2
Jordan,2015,21.79,8,1.85,433.5,12068.3942,36.63100052,6.3
Jordan,2019,21.81,9,1.98,441.2,11678.4124,33.06087112,14.6
Kazakhstan,2000,15.31,4600,39.43,1034,11409.4066,31.81212997,6.5
Kazakhstan,2010,17.16,1900,29.41,844.1,34794.9518,46.24797058,3.2
Kazakhstan,2015,18.59,720,23.42,697.3,46745.8655,46.37350845,2.5
Kazakhstan,2019,19.46,440,18.05,620.9,54065.5672,61.74975967,2.5
Kenya,2000,16.33,13000,15.81,624.2,6166.4826,2.699520111,32.2
Kenya,2010,16.79,33000,11.85,607.5,10446.8719,,22.2
Kenya,2015,17.32,30000,10.64,583,10598.7324,9.229559898,21.5
Kenya,2019,17.64,19000,11.01,587.1,10457.2065,10.0383997,25.6
Kiribati,2000,12.56,41,35.64,1424,7758.5643,,4.4
Kiribati,2010,13.18,44,32.65,1341,8412.4611,,4.4
Kiribati,2015,13.47,45,31.59,1304,13449.7299,,3.2
Kiribati,2019,13.69,46,30.56,1281,14455.2759,,4
Kuwait,2000,22.19,22,3.1,425.6,235369.7385,,2.6
Kuwait,2010,23.21,33,2.43,356.7,317133.5988,,2.5
Kuwait,2015,24.21,18,2.4,308.5,386969.8671,55.14833069,2.5
Kuwait,2019,23.96,16,2.66,324.4,347389.7945,55.30754852,2.5
Kyrgyzstan,2000,16.72,1200,17.6,886.2,5951.9468,35.40402985,15
Kyrgyzstan,2010,17.56,620,12.39,797.5,11627.2059,42.15980148,7.3
Kyrgyzstan,2015,18.41,460,10.87,715.7,11251.0437,46.66786957,6.3
Kyrgyzstan,2019,20.01,290,8.28,588.1,13407.5801,42.32133865,5.2
Laos,2000,15.3,6700,8.65,810,23911.0759,2.693589926,31.2
Laos,2010,16.87,4200,6.8,732,34284.5308,16.64825058,14.1
Laos,2015,17.5,3200,6.2,697.2,38671.7445,18.16503906,6.7
Laos,2019,17.65,2000,5.98,699.9,43132.8642,14.45331001,5.4
Latvia,2000,18.33,310,29.63,725.5,69835.0547,56.24380112,4.6
Latvia,2010,19.24,91,18.59,654.4,98190.6675,69.05104065,2.5
Latvia,2015,20.35,99,17.14,572,126630.2288,74.29988098,2.5
Latvia,2019,20.53,65,16.06,558.7,155997.1845,94.86453247,2.5
Lebanon,2000,19.84,60,2.99,566.7,819.7726,,7.8
Lebanon,2010,19.9,48,3.04,562.3,9549.7403,,5.7
Lebanon,2015,20.13,60,2.87,548.1,4365.7074,,5.9
Lebanon,2019,20.53,60,2.76,526.9,5324.9395,,9
Lesotho,2000,13.95,1100,42.6,833,521.3766,2.01274991,20
Lesotho,2010,12.77,1300,86.89,1128,3621.382,,11.6
Lesotho,2015,12.7,1100,114.5,1284,2571.4767,10.18686962,30.3
Lesotho,2019,13.43,1300,87.48,1137,2327.6285,,31.2
Liberia,2000,15.79,1400,8.79,577.4,12239.667,19.65513039,36.6
